Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
PCIJ,@PCIJdotOrg,2025-05-09T05:59:21.000Z,False,"Villar, Marcos, Binay, Tolentino, Dela Rosa, Abalos, Revilla, and Go. Based on data from Nielsen Ad Intel from January 2024 to March 2025. #phvoteRead our report: pcij.org/2025/05/09/8-s
…",1,39,37,10K,['#phvote'],[],[],https://pbs.twimg.com/profile_images/1785506948806557696/8NPZK8F2_bigger.jpg,https://x.com/PCIJdotOrg/status/1920720226498249021,tweet_id:1920720226498249021
Rappler,@rapplerdotcom,2025-04-27T00:00:21.000Z,True,"For the second time since early March, House Deputy Speaker Camille Villar called in sick and skipped a sortie with the administration’s Alyansa para sa Bagong Pilipinas. #InsideTrack #PHVote rappler.com/newsbreak/insi
…",30,9,25,10K,"['#InsideTrack', '#PHVote']",[],[],https://pbs.twimg.com/profile_images/1583252893368717313/wUCmGve8_bigger.jpg,https://x.com/rapplerdotcom/status/1916281224173171087,tweet_id:1916281224173171087
Angela Baron,@_rainbowfighter,2025-04-24T23:14:03.000Z,False,"Many #Kakampinks are suggesting to go Alyansa slate minus Imee and Camille PLUS Bam and Kiko.

For strategic reasons. 

What do you think? #Halalan2025 #NumbersGame",56,32,189,18K,"['#Kakampinks', '#Halalan2025', '#NumbersGame']",[],[],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1915544796170731950,tweet_id:1915544796170731950
JPG,@joel_gregorio,2025-04-23T04:22:42.000Z,False,"COMELEC issues Show-Cause Order against Camille Villar, daughter of the richest man in the country, for an alleged ‘vote-buying’ stunt. #Halalan2025",4,10,25,692,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1572739983060115457/-jHHuHGX_bigger.jpg,https://x.com/joel_gregorio/status/1914897697410277636,tweet_id:1914897697410277636
PCIJ,@PCIJdotOrg,2025-05-09T05:59:21.000Z,False,"Villar, Marcos, Binay, Tolentino, Dela Rosa, Abalos, Revilla, and Go. Based on data from Nielsen Ad Intel from January 2024 to March 2025. #phvoteRead our report: pcij.org/2025/05/09/8-s
…",1,39,37,10K,['#phvote'],[],[],https://pbs.twimg.com/profile_images/1785506948806557696/8NPZK8F2_bigger.jpg,https://x.com/PCIJdotOrg/status/1920720226498249021,tweet_id:1920720226498249021
Rappler,@rapplerdotcom,2025-04-22T06:33:44.000Z,True,JUST IN. The Commission on Elections is set to serve a show cause order against senatorial candidate Camille Villar for alleged vote-buying during a political activity in Cavite. | via Michelle Abad/Rappler #PHVoteMore in the philippine-politics chat room of,159,836,3.5K,168K,['#PHVote'],[],[],https://pbs.twimg.com/profile_images/1583252893368717313/wUCmGve8_bigger.jpg,https://x.com/rapplerdotcom/status/1914568285158330595,tweet_id:1914568285158330595
ABS-CBN News,@ABSCBNNews,2025-04-22T06:14:20.000Z,True,Pinagpapaliwanag ng Comelec si senatorial bet Camille Villar dahil sa umano'y vote buying. | via  #Halalan2025,122,187,966,93K,['#Halalan2025'],['@johnsonmanabat'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1914563400052416670,tweet_id:1914563400052416670
Johnson Manabat,@JohnsonManabat,2025-04-22T06:11:25.000Z,False,Pinagpapaliwanag ng Comelec si senatorial bet Camille Villar dahil sa umano'y vote-buying. #Halalan2025 ,28,44,154,22K,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1954146565616246784/-z1CnYBL_bigger.jpg,https://x.com/JohnsonManabat/status/1914562666766733313,tweet_id:1914562666766733313
Rappler,@rapplerdotcom,2025-04-14T05:45:19.000Z,True,"One breezy February afternoon in San Jose Del Monte City, the Marcos slate Alyansa campaigned in the vote-rich province, and Camille Villar, heiress to the business and political empire, promised all the basic needs — housing, jobs, etc. — except for one: water. #PHVote 

Read",121,644,1.4K,79K,['#PHVote'],[],[],https://pbs.twimg.com/profile_images/1583252893368717313/wUCmGve8_bigger.jpg,https://x.com/rapplerdotcom/status/1911656998602481825,tweet_id:1911656998602481825
Detective Mask 名探偵マスク,@DetectiveMask,2025-04-13T04:21:08.000Z,False,"In Cebu, Governor Gwen Garcia has endorsed the following admin Senate bets:

-Abalos
-Bong Revilla
-Cayetano
-Lacson
-Pacquiao 
-Sotto
-Tolentino
-VillarUnclear if she plans to endorse Binay, Lapid, & Erwin Tulfo, or goes for KikoBam and/or pro-Duterte bets.#Halalan2025",7,7,69,4.7K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1911273421872435341,tweet_id:1911273421872435341
